"","K"
"1",0.001447709
"2",0.002683239
"3",0.002793849
"4",0.003409689
"5",0.00418922
"6",0.004331542
"7",0.004491903
"8",0.005264806
"9",0.00529576
"10",0.005674774
"11",0.005919646
"12",0.007202238
"13",0.007331247
"14",0.008328318
"15",0.010324023
"16",0.01444289
"17",0.014920262
"18",0.015947096
"19",0.01597243
"20",0.016394409
"21",0.016412816
"22",0.016992022
"23",0.018941137
"24",0.021650566
"25",0.022226396
"26",0.024779096
"27",0.025934281
"28",0.026120196
"29",0.031940074
"30",0.046764676
"31",0.046922927
"32",0.048630364
"33",0.053722714
"34",0.05779207
"35",0.058755678
"36",0.059482566
"37",0.06228704
"38",0.07055618
"39",0.083159621
"40",0.086726222
"41",0.091581176
"42",0.097575796
"43",0.139897249
"44",0.150078836
"45",0.171647817
"46",0.310947436
"47",0.34257503
"48",3.344263645
"49",4.855354573
